,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
31,kutum,14.2,24.6667,23.79,60,43,2.39,SD,1686962553
32,dunedin,-45.8742,170.5036,13.78,58,27,7.6,NZ,1686962553
33,holualoa,19.6228,-155.9522,25.91,85,100,7.2,US,1686962365
34,chul'man,56.8479,124.9104,14.0,57,5,2.29,RU,1686962554
35,kapuskasing,49.4169,-82.4331,22.05,30,40,3.09,CA,1686962554
36,malinyi,-8.9333,36.1333,16.09,64,8,1.57,TZ,1686962554
37,kununurra,-15.7667,128.7333,23.99,41,93,2.06,AU,1686962507
38,nuuk,64.1835,-51.7216,2.34,80,0,7.72,GL,1686962554
39,albertina,-22.2008,-46.6158,10.16,97,25,0.48,BR,1686962554
40,new norfolk,-42.7826,147.0587,16.62,49,11,2.24,AU,1686962555
41,happy valley-goose bay,53.3168,-60.3315,8.17,81,100,7.2,CA,1686962555
42,klyuchi,52.2667,79.1667,21.33,31,8,2.44,RU,1686962555
43,el bolson,-41.9667,-71.5167,-0.11,96,20,1.44,AR,1686962555
44,kokuy,52.2037,117.5529,21.67,24,100,1.17,RU,1686962556
45,lata,40.1629,-8.3327,19.34,95,100,1.06,PT,1686962556
46,moengo,5.6167,-54.4,23.48,95,51,1.03,SR,1686962556
47,nova sintra,14.8667,-24.7167,21.8,82,96,5.7,CV,1686962556
48,vorgashor,67.5833,63.95,0.86,89,100,7.02,RU,1686962556
49,mount gambier,-37.8333,140.7667,10.62,82,92,5.83,AU,1686962556
50,jamestown,42.097,-79.2353,17.8,77,75,3.09,US,1686962311
51,veraval,20.9,70.3667,28.92,83,100,8.51,IN,1686962557
52,novyy urgal,51.0736,132.5642,14.66,53,98,3.07,RU,1686962557
53,severo-yeniseyskiy,60.3725,93.0408,11.22,57,97,4.42,RU,1686962557
54,mhamid,29.82,-5.72,30.9,16,0,1.73,MA,1686962557
55,novomykolayivka,47.9781,35.9102,15.27,94,11,3.54,UA,1686962558
56,kirovskiy,45.0917,133.5136,21.74,56,65,3.1,RU,1686962558
57,la'ie,21.6477,-157.9253,30.98,65,10,1.79,US,1686962558
58,ruidoso,33.3317,-105.673,27.37,15,0,10.29,US,1686962558
59,brak,27.5496,14.2714,26.25,33,0,4.52,LY,1686962558
60,puerto baquerizo moreno,-0.9,-89.6,25.22,75,100,3.79,EC,1686962559
61,locharbriggs,55.1034,-3.5844,17.2,87,100,2.28,GB,1686962559
62,brookings,44.3114,-96.7984,26.19,47,40,3.6,US,1686962435
63,hawaiian paradise park,19.5933,-154.9731,26.73,73,100,3.09,US,1686962559
64,okha,53.5739,142.9478,8.31,89,100,4.06,RU,1686962559
65,west island,-12.1568,96.8225,24.99,88,75,10.66,CC,1686962559
66,pacific grove,36.6177,-121.9166,21.56,76,0,4.12,US,1686962560
67,smithers,54.7804,-127.1743,15.18,47,75,2.57,CA,1686962411
68,flin flon,54.7682,-101.865,22.98,31,100,1.96,CA,1686962560
69,isangel,-19.55,169.2667,26.06,69,40,3.09,VU,1686962560
70,fortuna,40.5982,-124.1573,20.19,63,0,7.72,US,1686961959
71,shwebo,22.5667,95.7,29.05,67,99,6.76,MM,1686962560
72,bethel,41.3712,-73.414,18.2,86,0,0.0,US,1686962454
73,hithadhoo,-0.6,73.0833,28.21,69,100,3.03,MV,1686962561
74,bahia honda,22.9036,-83.1592,27.95,78,53,3.26,CU,1686962561
75,saldanha,-33.0117,17.9442,13.03,91,13,10.04,ZA,1686962561
76,lagoa,39.05,-27.9833,18.0,75,0,4.69,PT,1686962561
77,puerto ayora,-0.7393,-90.3518,25.86,90,100,2.68,EC,1686962562
78,as sulayyil,20.4607,45.5779,31.14,12,29,4.33,SA,1686962562
79,lensk,60.7253,114.9278,18.42,50,100,2.26,RU,1686962562
80,puerto deseado,-47.7503,-65.8938,3.74,68,0,5.81,AR,1686962562
81,hamilton,39.1834,-84.5333,21.35,75,100,3.6,US,1686962563
82,boguchany,58.3814,97.4531,16.98,39,16,3.75,RU,1686962563
83,arraial do cabo,-22.9661,-42.0278,22.59,91,100,2.45,BR,1686962563
84,lihue,21.9789,-159.3672,26.58,79,100,5.14,US,1686962467
85,walvis bay,-22.9575,14.5053,11.16,100,2,2.57,NA,1686962563
86,thompson,55.7435,-97.8558,21.09,37,20,5.66,CA,1686962564
87,qaqortoq,60.7167,-46.0333,4.83,72,97,0.83,GL,1686962564
88,gukovo,48.0531,39.9311,15.07,99,91,3.02,RU,1686962564
89,vilyuchinsk,52.9306,158.4028,13.15,87,100,2.43,RU,1686962564
90,ust-nera,64.5667,143.2,23.57,29,10,0.78,RU,1686962564
91,kyren,51.6828,102.1408,16.37,65,100,0.74,RU,1686962564
92,katsuura,35.1333,140.3,24.47,73,0,2.25,JP,1686962565
93,murghob,38.1702,73.9667,9.02,50,11,0.99,TJ,1686962565
94,iskateley,67.6803,53.1512,3.04,80,100,6.25,RU,1686962565
95,la ronge,55.1001,-105.2842,23.14,23,100,3.09,CA,1686962566
96,bilibino,68.0546,166.4372,9.61,33,100,5.08,RU,1686962566
97,macau,22.2006,113.5461,27.14,94,40,1.03,MO,1686962452
98,aasiaat,68.7098,-52.8699,-2.34,73,24,0.41,GL,1686962566
99,luderitz,-26.6481,15.1594,13.04,85,0,2.32,NA,1686962566
100,weno,7.4515,151.8468,28.19,78,100,5.34,FM,1686962566
101,talara,-4.5772,-81.2719,24.42,83,0,3.6,PE,1686962567
102,prince george,53.9166,-122.753,20.14,35,100,8.23,CA,1686962523
103,bonadelle ranchos-madera ranchos,36.9847,-119.8746,35.07,31,6,3.5,US,1686962567
104,nzega,-2.479,29.5564,12.33,90,11,2.0,RW,1686962567
105,lompoc,34.6391,-120.4579,25.56,77,100,4.63,US,1686962567
106,jais,26.25,81.5333,35.32,30,0,4.2,IN,1686962568
107,maceio,-9.6658,-35.7353,23.69,94,75,2.06,BR,1686962568
108,turpan,42.9333,89.1667,28.49,33,0,1.31,CN,1686962568
109,longyearbyen,78.2186,15.6401,3.91,81,75,1.54,SJ,1686962568
110,tokar,18.4254,37.729,31.14,56,100,5.01,SD,1686962568
111,peravurani,10.3,79.1833,29.31,59,100,4.49,IN,1686962568
112,olonkinbyen,70.9221,-8.7187,3.81,100,100,5.55,SJ,1686962569
113,yelizovo,53.1873,158.3805,13.08,100,75,4.92,RU,1686962569
114,novodvinsk,64.4165,40.8122,2.97,82,9,0.97,RU,1686962569
115,hermanus,-34.4187,19.2345,18.78,72,7,15.05,ZA,1686962569
116,avarua,-21.2078,-159.775,25.03,83,100,2.06,CK,1686962569
117,minas de marcona,-15.2119,-75.1103,13.95,83,11,2.25,PE,1686962569
118,suva,-18.1416,178.4415,23.71,88,75,3.09,FJ,1686962570
119,labytnangi,66.6572,66.4183,4.71,67,100,6.71,RU,1686962570
120,wailua homesteads,22.0669,-159.378,26.24,83,100,5.14,US,1686962570
121,sathyamangalam,11.5167,77.25,26.02,72,7,1.41,IN,1686962570
122,karratha,-20.7377,116.8463,23.52,40,100,2.64,AU,1686962570
123,guerrero negro,27.9769,-114.0611,19.74,71,98,8.01,MX,1686962571
124,aripuana,-9.1667,-60.6333,22.24,75,73,0.53,BR,1686962571
125,francistown,-21.17,27.5079,11.28,26,0,3.38,BW,1686962571
126,cockburn town,21.4612,-71.1419,28.02,86,20,6.71,TC,1686962571
127,salto,-31.3833,-57.9667,10.43,81,0,2.14,UY,1686962432
128,papatowai,-46.5619,169.4708,11.05,61,24,2.93,NZ,1686962572
129,ta`u,-14.2336,-169.5144,27.93,77,60,6.79,AS,1686962572
130,tocopilla,-22.092,-70.1979,18.47,66,2,1.28,CL,1686962572
131,uboldo,45.6153,9.0039,20.34,67,5,2.84,IT,1686962572
132,bonthe,7.5264,-12.505,25.09,89,100,2.45,SL,1686962572
133,beau vallon,-20.4189,57.6953,21.23,94,20,1.54,MU,1686962572
134,constantia,44.1833,28.65,16.5,77,67,1.89,RO,1686962572
135,cabo san lucas,22.8909,-109.9124,29.78,65,0,3.09,MX,1686962573
136,cabugao,17.7931,120.4578,31.05,72,98,1.13,PH,1686962573
137,ilulissat,69.2167,-51.1,0.01,80,75,3.6,GL,1686962573
138,ciro redondo,22.0135,-78.7059,26.82,81,12,2.1,CU,1686962573
139,yuzhno-sakhalinsk,46.9581,142.7337,12.79,94,40,4.0,RU,1686962573
140,utrik,11.2278,169.8474,27.84,79,44,8.02,MH,1686962573
141,tolanaro,-25.0319,46.9987,22.04,83,40,3.09,MG,1686962574
142,colonia,50.9333,6.95,18.3,66,0,1.03,DE,1686962379
143,choibalsan,48.0667,114.5,20.18,27,36,5.43,MN,1686962386
144,balabac,7.9868,117.0645,28.89,69,87,2.26,PH,1686962574
145,grand-bassam,5.2118,-3.7388,25.98,83,22,2.25,CI,1686962574
146,carnarvon,-24.8667,113.6333,17.73,60,100,6.8,AU,1686962574
147,ceggia,45.6892,12.6367,18.31,81,0,2.15,IT,1686962575
148,stanley,54.868,-1.6985,12.65,89,0,0.51,GB,1686962575
149,manicore,-5.8092,-61.3003,24.59,73,100,0.14,BR,1686962575
150,port lincoln,-34.7333,135.8667,15.19,57,84,9.15,AU,1686962501
151,burutu,5.3509,5.5076,25.1,90,100,2.28,NG,1686962575
152,malanje,-9.5402,16.341,15.03,35,0,1.49,AO,1686962576
153,ribeira grande,38.5167,-28.7,17.65,85,54,2.68,PT,1686962576
154,lebu,-37.6167,-73.65,8.97,80,86,3.53,CL,1686962576
155,yekaterinoslavka,50.3734,129.1139,14.39,58,93,7.3,RU,1686962576
156,matane,48.8286,-67.522,10.12,95,100,3.14,CA,1686962576
157,susuman,62.7833,148.1667,19.69,43,34,2.15,RU,1686962576
158,masterton,-40.9597,175.6575,12.51,94,100,3.37,NZ,1686962430
159,inarajan village,13.2736,144.7484,31.33,75,69,6.1,GU,1686962577
160,port mathurin,-19.6833,63.4167,24.91,73,4,6.85,MU,1686962577
161,skarszewy,54.0691,18.4442,14.22,88,100,2.36,PL,1686962578
162,westport,41.1415,-73.3579,18.75,85,100,0.45,US,1686962579
163,timbuktu,16.7735,-3.0074,30.59,47,0,5.22,ML,1686962579
164,saipan,15.1355,145.701,31.39,100,40,8.75,MP,1686962579
165,murashi,59.3999,48.9615,4.74,69,0,3.19,RU,1686962579
166,prince rupert,54.3161,-130.3201,10.83,86,100,5.14,CA,1686962410
167,kampot,10.6167,104.1833,29.03,70,100,2.75,KH,1686962580
168,isafjordur,66.0755,-23.124,12.45,87,98,4.67,IS,1686962580
169,namibe,-15.1961,12.1522,19.53,84,0,2.01,AO,1686962580
170,ebon,4.582,168.6964,27.46,74,100,1.61,MH,1686962580
171,harper,4.375,-7.7169,25.33,77,73,2.97,LR,1686962580
172,palmer,42.1584,-72.3287,19.39,80,100,0.0,US,1686962472
173,zakamensk,50.3741,103.2863,10.55,99,100,1.83,RU,1686962581
174,auki,-8.7676,160.7034,30.31,66,24,3.13,SB,1686962581
175,hammerfest,70.6634,23.6821,7.25,70,100,2.06,NO,1686962581
176,toliara,-23.35,43.6667,20.36,89,11,2.13,MG,1686962581
177,port alfred,-33.5906,26.891,16.93,45,0,4.66,ZA,1686962581
178,blagoveshchenka,52.8333,79.8667,18.58,44,75,0.2,RU,1686962582
179,tazovsky,67.4667,78.7,2.84,86,100,4.61,RU,1686962582
180,yangquan,37.8575,113.5633,26.87,41,82,4.32,CN,1686962582
181,arkhangel'sk,64.5401,40.5433,3.49,79,66,0.87,RU,1686962582
182,palu,-0.8917,119.8707,26.65,87,100,0.43,ID,1686962582
183,tofol,5.3248,163.0078,28.88,79,100,1.54,FM,1686962582
184,san jeronimo de juarez,17.1333,-100.4667,30.1,71,87,1.73,MX,1686962583
185,fernley,39.608,-119.2518,27.9,12,6,1.34,US,1686962536
186,novyy urengoy,66.0833,76.6333,2.58,96,100,6.42,RU,1686962583
187,dawesville,30.9224,-84.0091,26.2,75,0,0.89,US,1686962583
188,yung shue wan,22.2333,114.1167,27.4,91,100,4.03,HK,1686962583
189,codrington,-38.2667,141.9667,13.84,50,79,10.81,AU,1686962583
190,san pedro pochutla,15.7333,-96.4667,29.84,77,49,0.94,MX,1686962584
191,mournies,35.4764,24.0092,21.57,88,20,10.29,GR,1686962584
192,nishinoomote,30.7333,131.0,23.31,100,75,1.03,JP,1686962584
193,tura,25.5198,90.2201,24.37,95,73,3.18,IN,1686962584
194,nyurba,63.2842,118.3319,16.0,58,25,4.79,RU,1686962584
195,bredasdorp,-34.5322,20.0403,15.69,64,4,8.99,ZA,1686962584
196,altusried,47.8,10.2167,12.57,79,84,2.46,DE,1686962585
197,mahibadhoo,3.7833,72.9667,28.16,74,46,4.47,MV,1686962585
198,antofagasta,-23.65,-70.4,15.6,68,0,1.07,CL,1686962464
199,nemuro,43.3236,145.575,14.35,94,98,5.08,JP,1686962585
200,nouadhibou,20.931,-17.0347,25.99,53,100,8.23,MR,1686962585
201,altai,46.3722,96.2583,10.4,63,100,3.19,MN,1686962586
202,port-cartier,50.0334,-66.8654,12.64,96,100,3.28,CA,1686962586
203,hurricane,37.1753,-113.2899,28.61,33,100,2.95,US,1686962586
204,nushki,29.5542,66.0215,27.78,41,0,1.79,PK,1686962586
205,kenora,49.8167,-94.4337,21.54,49,100,3.6,CA,1686962452
206,malango,-2.9627,119.9001,21.19,89,98,0.54,ID,1686962587
207,bandarbeyla,9.4942,50.8122,24.83,82,88,11.29,SO,1686962587
208,ha'il,27.5219,41.6907,25.01,25,0,2.06,SA,1686962587
209,limulunga,-15.0969,23.1376,9.89,26,0,1.75,ZM,1686962587
210,am timan,11.0297,20.2827,27.89,63,88,3.23,TD,1686962587
211,klaksvik,62.2266,-6.589,9.51,93,64,5.11,FO,1686962588
212,porto novo,6.4965,2.6036,25.9,87,100,2.43,BJ,1686962588
213,urcos,-13.6861,-71.6228,12.94,89,12,2.18,PE,1686962588
214,nabire,-3.3667,135.4833,28.73,70,92,0.8,ID,1686962588
215,conde,-7.2597,-34.9075,24.7,88,75,4.12,BR,1686962588
216,san buenaventura,27.0833,-101.5333,39.71,25,79,7.25,MX,1686962589
217,staryy dobrotvir,50.2315,24.377,15.25,99,100,0.41,UA,1686962589
218,quellon,-43.1167,-73.6167,5.14,81,0,2.57,CL,1686962589
219,st. john's,47.5649,-52.7093,8.15,98,100,4.12,CA,1686962445
220,papao,-17.75,-149.55,29.82,76,9,7.62,PF,1686962589
221,kenai,60.5544,-151.2583,12.05,84,100,3.09,US,1686962589
222,alice springs,-23.7,133.8833,18.45,30,87,2.06,AU,1686962300
223,igrim,63.1906,64.4162,5.63,61,8,4.73,RU,1686962590
224,northam,51.0333,-4.2167,16.33,91,100,0.52,GB,1686962590
225,selfoss,63.9331,-20.9971,11.69,95,100,1.58,IS,1686962590
226,makaha,21.4694,-158.2175,30.95,57,100,7.2,US,1686962590
227,port elizabeth,-33.918,25.5701,12.16,71,0,3.6,ZA,1686962590
228,tuyen quang,21.8233,105.2181,28.99,81,100,0.5,VN,1686962591
229,mongo,12.1844,18.693,30.12,49,37,2.23,TD,1686962591
230,caldas novas,-17.7417,-48.625,16.3,90,37,1.82,BR,1686962591
231,salinas,36.6777,-121.6555,23.45,68,0,5.66,US,1686962591
232,tralee,52.2704,-9.7026,14.1,96,100,1.73,IE,1686962591
233,damara,4.9608,18.7035,22.81,83,85,1.28,CF,1686962591
234,fuyuan,46.4333,127.0833,23.51,28,100,5.08,CN,1686962592
235,saint-philippe,-21.3585,55.7679,21.77,70,0,0.59,RE,1686962592
236,pachino,36.7186,15.0907,20.63,73,0,2.03,IT,1686962592
237,jilotepec de molina enriquez,19.9528,-99.5347,22.17,38,11,6.74,MX,1686962592
238,yarkovo,57.4028,67.0786,12.28,84,99,3.64,RU,1686962592
239,sitka,57.0531,-135.33,8.94,87,100,2.57,US,1686962592
240,abqaiq,25.9371,49.6776,30.61,19,17,4.69,SA,1686962593
241,macia,-25.0269,33.0989,14.33,88,0,0.96,MZ,1686962593
242,marsh harbour,26.5412,-77.0636,28.93,74,67,4.83,BS,1686962593
243,fiambala,-27.6871,-67.6149,10.92,29,1,0.51,AR,1686962593
244,sinabang,2.4803,96.3801,27.43,78,100,1.47,ID,1686962593
245,pangkalanbuun,-2.6833,111.6167,24.72,94,100,1.33,ID,1686962593
246,mejit,10.2753,170.8646,28.03,76,89,7.81,MH,1686962594
247,roxas,11.5853,122.7511,28.41,73,80,2.51,PH,1686962594
248,celestun,20.8667,-90.4,29.85,78,4,8.49,MX,1686962594
249,hadibu,12.65,54.0333,27.23,80,35,6.98,YE,1686962594
250,bluefields,12.0137,-83.7635,25.26,92,100,2.34,NI,1686962594
251,luxeuil-les-bains,47.8171,6.365,17.4,88,0,0.0,FR,1686962594
252,taoudenni,22.6783,-3.9836,36.7,12,0,4.3,ML,1686962595
253,tonsberg,59.2675,10.4076,18.45,59,92,1.54,NO,1686962595
254,brokopondo,4.75,-55.1667,25.68,83,88,3.8,SR,1686962595
255,valparaiso,-33.0393,-71.6273,14.44,63,96,3.87,CL,1686962518
256,ilomantsi,62.6716,30.9328,12.05,62,90,4.13,FI,1686962595
257,altamira,-3.2033,-52.2064,24.51,78,35,0.99,BR,1686962596
258,kamyshin,50.0983,45.416,18.38,82,100,4.88,RU,1686962596
259,punta arenas,-53.15,-70.9167,5.06,75,0,6.69,CL,1686962420
260,chiredzi,-21.05,31.6667,12.94,93,0,1.2,ZW,1686962596
261,antsiranana,-12.2787,49.2917,23.13,82,7,4.5,MG,1686962596
262,gadani,25.1185,66.7299,30.12,85,100,6.02,PK,1686962596
263,verkhnevilyuysk,63.4453,120.3167,16.71,59,99,4.79,RU,1686962597
264,mao,39.8885,4.2658,19.31,94,0,2.06,ES,1686962597
265,mazatlan,23.2167,-106.4167,30.98,65,20,3.6,MX,1686962597
266,nicoya,10.1483,-85.452,25.94,86,100,1.62,CR,1686962597
267,djibouti,11.5,42.5,30.77,31,11,0.76,DJ,1686962597
268,kangal,39.2335,37.3911,12.32,76,79,0.72,TR,1686962597
269,fort bragg,35.139,-79.006,30.32,56,40,1.54,US,1686962598
270,karatas,36.582,35.3701,23.08,84,9,2.39,TR,1686962598
271,bulgan,48.8125,103.5347,12.53,84,100,3.11,MN,1686962598
272,karakulino,56.012,53.7067,13.44,81,5,2.71,RU,1686962598
273,houghton,47.1219,-88.569,21.71,62,0,0.93,US,1686962400
274,pendleton,45.6721,-118.7886,30.22,29,0,4.12,US,1686962599
275,savanna-la-mar,18.219,-78.1332,30.97,74,100,2.44,JM,1686962599
276,antigonish,45.6169,-61.9986,15.46,92,17,1.34,CA,1686962599
277,ghadamis,30.1337,9.5007,24.94,24,0,4.72,LY,1686962599
278,karkira,36.9292,6.5856,19.97,63,11,2.49,DZ,1686962599
279,dongcun,36.7767,121.1597,23.44,72,100,5.0,CN,1686962600
280,belmonte,-15.8631,-38.8828,23.1,85,1,2.25,BR,1686962600
281,champerico,14.3,-91.9167,26.3,75,41,3.26,GT,1686962600
282,san patricio,28.017,-97.5169,32.87,77,5,5.72,US,1686962600
283,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,75,5.0,RU,1686962600
284,znamenskoye,57.1281,73.8282,14.44,70,42,1.66,RU,1686962600
285,tarauaca,-8.1614,-70.7656,18.47,84,60,0.29,BR,1686962601
286,afaahiti,-17.75,-149.2833,28.93,77,62,6.57,PF,1686962601
287,leava,-14.3,-178.1667,27.79,79,32,6.16,WF,1686962601
288,canutama,-6.5339,-64.3831,24.03,79,100,1.06,BR,1686962601
289,banda aceh,5.5577,95.3222,28.06,71,16,7.02,ID,1686962601
290,fada,9.5667,8.3,20.73,97,19,0.35,NG,1686962601
291,palikir - national government center,6.9248,158.1611,30.47,70,75,4.12,FM,1686962601
292,ardakan,32.31,54.0175,29.66,18,0,4.73,IR,1686962602
293,yemva,62.59,50.8594,4.05,77,15,2.99,RU,1686962602
294,ancud,-41.8697,-73.8203,3.48,78,12,3.31,CL,1686962602
295,i-n-salah,27.1935,2.4607,32.45,16,0,8.33,DZ,1686962602
296,mezhdurechenskiy,59.6,65.9333,7.78,54,22,3.8,RU,1686962603
297,bouillante,16.1304,-61.7692,26.57,74,100,5.35,GP,1686962603
298,motilla del palancar,39.5709,-1.9068,20.34,70,100,0.45,ES,1686962603
299,aljezur,37.3191,-8.8033,19.4,81,0,4.18,PT,1686962603
300,amplepuis,45.9726,4.3316,16.76,72,17,0.29,FR,1686962603
301,daru,-9.0763,143.2092,26.01,75,100,6.19,PG,1686962604
302,kuching,1.55,110.3333,26.69,89,20,1.54,MY,1686962604
303,cruzeiro do sul,-29.5128,-51.9853,10.63,97,40,1.42,BR,1686962604
304,kunjah,32.5285,73.9737,27.02,56,0,1.06,PK,1686962604
305,olutanga,7.3106,122.8464,27.72,73,100,2.09,PH,1686962604
306,crane,31.3974,-102.3501,38.13,9,69,5.21,US,1686962604
307,atafu village,-8.5421,-172.5159,28.81,68,11,7.12,TK,1686962605
308,vadso,70.0744,29.7487,4.49,80,20,2.57,NO,1686962605
309,imperia,43.9667,7.7833,18.38,69,11,2.76,IT,1686962605
310,narvik,68.4384,17.4272,12.99,85,77,1.31,NO,1686962605
311,osh,40.5151,72.8083,20.36,52,20,3.0,KG,1686962606
312,arawa,-6.2132,155.5367,28.59,81,87,0.93,PG,1686962606
313,gemena,3.25,19.7667,22.18,89,98,0.49,CD,1686962606
314,ciudad lazaro cardenas,17.9583,-102.2,29.63,66,45,3.32,MX,1686962606
315,bowen,-20.0167,148.2333,23.54,57,13,6.74,AU,1686962606
316,chudniv,50.052,28.1175,16.7,88,100,2.38,UA,1686962607
317,ola,59.5833,151.2833,10.37,83,80,3.36,RU,1686962607
318,egilsstadir,65.2653,-14.3948,9.95,87,0,1.03,IS,1686962607
319,revda,56.801,59.9303,11.49,91,69,1.74,RU,1686962607
320,tual,-5.6667,132.75,26.73,79,69,8.17,ID,1686962607
321,yermentau,51.6214,73.1069,17.92,41,86,3.29,KZ,1686962485
322,touros,-5.1989,-35.4608,24.99,77,33,5.85,BR,1686962539
323,keflavik,64.0049,-22.5624,11.95,100,75,3.09,IS,1686962608
324,fale old settlement,-9.3852,-171.2468,28.81,74,63,5.58,TK,1686962609
325,letlhakeng,-24.0944,25.0298,10.32,42,0,2.74,BW,1686962609
326,souillac,-20.5167,57.5167,21.21,94,20,1.54,MU,1686962609
327,san-pedro,4.7485,-6.6363,25.06,80,75,2.14,CI,1686962610
328,yorkton,51.2167,-102.4677,21.91,37,20,4.12,CA,1686962611
329,hadsund,56.7148,10.1168,15.31,64,84,3.03,DK,1686962611
330,tarfaya,27.9358,-12.9218,21.5,89,0,5.74,MA,1686962611
331,olinda,-8.0089,-34.8553,25.85,78,75,3.6,BR,1686962611
332,shibganj,24.6829,88.1598,33.19,62,7,6.7,BD,1686962612
333,oranjemund,-28.55,16.4333,13.54,87,0,2.01,NA,1686962612
334,mandalgovi,45.7625,106.2708,24.8,34,100,9.35,MN,1686962612
335,selkirk,50.1436,-96.8845,20.61,68,53,2.54,CA,1686962612
336,funafuti,-8.5243,179.1942,32.0,84,40,2.57,TV,1686962458
337,evanston,42.0411,-87.6901,19.79,76,0,3.09,US,1686962612
338,dudinka,69.4058,86.1778,6.46,60,74,3.53,RU,1686962613
339,ivins,37.1686,-113.6794,28.97,32,100,1.34,US,1686962613
340,kodiak,57.79,-152.4072,13.73,58,100,3.09,US,1686962613
341,newman,37.3138,-121.0208,32.23,26,76,2.24,US,1686962613
342,kristiansund,63.1115,7.732,12.03,87,45,4.12,NO,1686962613
343,waddan,29.1614,16.139,22.13,62,0,2.93,LY,1686962614
344,barbacoas,1.6715,-78.1398,24.6,95,99,0.34,CO,1686962614
345,jincheng,35.5022,112.8328,16.85,91,100,4.03,CN,1686962614
346,la passe,45.5549,-0.8967,20.13,77,100,2.5,FR,1686962614
347,mount isa,-20.7333,139.5,17.87,27,1,2.57,AU,1686962345
348,sao joao da barra,-21.6403,-41.0511,23.05,89,100,5.61,BR,1686962615
349,mo i rana,66.3128,14.1428,10.26,87,0,1.54,NO,1686962615
350,margate,51.3813,1.3862,16.28,73,100,0.89,GB,1686962615
351,sidi ifni,29.3797,-10.173,20.71,91,16,2.01,MA,1686962615
352,garachico,28.7781,-17.7646,20.06,78,40,3.09,ES,1686962615
353,kiunga,-6.1219,141.2906,27.08,77,100,2.03,PG,1686962616
354,union city,37.5958,-122.0192,28.76,59,0,7.72,US,1686962505
355,sur,22.5667,59.5289,31.32,57,54,2.56,OM,1686962616
356,keetmanshoop,-26.5833,18.1333,9.51,18,0,3.6,NA,1686962616
357,inhambane,-23.865,35.3833,18.43,79,0,2.81,MZ,1686962616
358,nova vicosa,-17.8919,-39.3719,22.91,87,12,3.76,BR,1686962617
359,udachny,66.4167,112.4,8.03,65,99,11.99,RU,1686962617
360,itaberai,-16.0203,-49.8103,17.64,88,9,2.77,BR,1686962617
361,gwadar,25.1216,62.3254,29.35,81,100,1.74,PK,1686962617
362,shingu,33.7333,135.9833,25.79,58,100,1.84,JP,1686962358
363,levski,43.3667,25.1333,17.89,94,100,3.58,BG,1686962618
364,yeniseysk,58.4497,92.1703,15.01,53,77,1.67,RU,1686962618
365,kiselevsk,53.99,86.6621,13.76,69,36,4.22,RU,1686962503
366,bangar,16.8936,120.4243,29.91,72,95,1.2,PH,1686962618
